Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1675,1980,1675,1715,1412.401855,152600
2020-01-03,1715,1765,1700,1700,1400.048584,105400
2020-01-06,1700,1700,1605,1660,1367.106201,95800
2020-01-07,1660,1665,1610,1645,1354.752808,179600
2020-01-08,1645,1645,1605,1610,1325.928345,32600
2020-01-09,1610,1640,1610,1640,1350.63501,4200
2020-01-10,1650,1650,1635,1640,1350.63501,50600
2020-01-13,1650,1650,1605,1610,1325.928345,119500
2020-01-14,1645,1645,1585,1595,1313.574951,167900
2020-01-15,1595,1600,1590,1590,1309.457153,32400
2020-01-16,1590,1615,1575,1615,1330.046143,117800
2020-01-17,1615,1615,1600,1610,1325.928345,95100
2020-01-20,1600,1625,1600,1620,1334.16394,16400
2020-01-21,1610,1630,1605,1625,1338.281738,178800
2020-01-22,1625,1625,1570,1570,1292.985962,94600
2020-01-23,1570,1585,1550,1560,1284.750488,52300
2020-01-24,1555,1570,1550,1570,1292.985962,24300
2020-01-27,1565,1570,1475,1545,1272.397095,126400
2020-01-28,1500,1545,1470,1545,1272.397095,33700
2020-01-29,1545,1640,1545,1595,1313.574951,20200
2020-01-30,1595,1595,1565,1575,1297.103882,47700
2020-01-31,1575,1575,1525,1550,1276.514893,70200
2020-02-03,1550,1600,1530,1580,1301.22168,42100
2020-02-04,1600,1600,1565,1595,1313.574951,9800
2020-02-05,1605,1610,1555,1560,1284.750488,17300
2020-02-06,1545,1560,1545,1555,1280.63269,39900
2020-02-07,1560,1560,1545,1545,1272.397095,16500
2020-02-10,1545,1545,1540,1540,1268.279297,8700
2020-02-11,1540,1540,1510,1540,1268.279297,16400
2020-02-12,1560,1560,1530,1530,1260.043701,3900
2020-02-13,1530,1550,1500,1550,1276.514893,28100
2020-02-14,1525,1545,1525,1530,1260.043701,1400
2020-02-17,1530,1560,1530,1530,1260.043701,15100
2020-02-18,1505,1600,1505,1580,1301.22168,45000
2020-02-19,1575,1580,1530,1570,1292.985962,12100
2020-02-20,1565,1600,1530,1590,1309.457153,21300
2020-02-21,1570,1580,1545,1560,1284.750488,5000
2020-02-24,1560,1600,1530,1530,1260.043701,27100
2020-02-25,1510,1565,1510,1560,1284.750488,30100
2020-02-26,1560,1560,1530,1530,1260.043701,6900
2020-02-27,1530,1530,1500,1500,1235.337036,42400
