Date,Open,High,Low,Close,Volume
1/2/2020 16:00:00,1675,1980,1675,1715,152600
1/3/2020 16:00:00,1715,1765,1700,1700,105400
1/6/2020 16:00:00,1700,1700,1605,1660,95800
1/7/2020 16:00:00,1660,1665,1610,1645,179600
1/8/2020 16:00:00,1645,1645,1605,1610,32600
1/9/2020 16:00:00,1610,1640,1610,1640,4200
1/10/2020 16:00:00,1650,1650,1635,1640,50600
1/13/2020 16:00:00,1650,1650,1605,1610,119500
1/14/2020 16:00:00,1645,1645,1585,1595,167900
1/15/2020 16:00:00,1595,1600,1590,1590,32400
1/16/2020 16:00:00,1590,1615,1575,1615,117800
1/17/2020 16:00:00,1615,1615,1600,1610,95100
1/20/2020 16:00:00,1600,1625,1600,1620,16400
1/21/2020 16:00:00,1610,1630,1605,1625,178800
1/22/2020 16:00:00,1625,1625,1570,1570,94600
1/23/2020 16:00:00,1570,1585,1550,1560,52300
1/24/2020 16:00:00,1555,1570,1550,1570,24300
1/27/2020 16:00:00,1565,1570,1475,1545,126400
1/28/2020 16:00:00,1500,1545,1470,1545,33700
1/29/2020 16:00:00,1545,1640,1545,1595,20200
1/30/2020 16:00:00,1595,1595,1565,1575,47700
1/31/2020 16:00:00,1575,1575,1525,1550,70200
2/3/2020 16:00:00,1550,1600,1530,1580,42100
2/4/2020 16:00:00,1600,1600,1565,1595,9800
2/5/2020 16:00:00,1605,1610,1555,1560,17300
2/6/2020 16:00:00,1545,1560,1545,1555,39900
2/7/2020 16:00:00,1560,1560,1545,1545,16500
2/10/2020 16:00:00,1545,1545,1540,1540,8700
2/11/2020 16:00:00,1540,1540,1510,1540,16400
2/12/2020 16:00:00,1560,1560,1530,1530,3900
2/13/2020 16:00:00,1530,1550,1500,1550,28100
2/14/2020 16:00:00,1525,1545,1525,1530,1400
2/17/2020 16:00:00,1530,1560,1530,1530,15100
2/18/2020 16:00:00,1505,1600,1505,1580,45000
2/19/2020 16:00:00,1575,1580,1530,1570,12100
2/20/2020 16:00:00,1565,1600,1530,1590,21300
2/21/2020 16:00:00,1570,1580,1545,1560,5000
2/24/2020 16:00:00,1560,1600,1530,1530,27100
2/25/2020 16:00:00,1510,1565,1510,1560,30100
2/26/2020 16:00:00,1560,1560,1530,1530,6900
2/27/2020 16:00:00,1530,1530,1500,1500,42400
2/28/2020 16:00:00,1495,1495,1370,1470,154100
3/2/2020 16:00:00,1470,1475,1440,1440,29200
3/3/2020 16:00:00,1440,1535,1440,1515,17800
3/4/2020 16:00:00,1515,1550,1490,1550,22700
3/5/2020 16:00:00,1560,1575,1525,1530,19700
3/6/2020 16:00:00,1530,1530,1500,1500,25100
3/9/2020 16:00:00,1490,1500,1440,1440,110500
3/10/2020 16:00:00,1440,1450,1420,1430,36300
3/11/2020 16:00:00,1430,1575,1410,1415,110500
3/12/2020 16:00:00,1410,1410,1350,1355,16900
3/13/2020 16:00:00,1330,1370,1265,1275,78900
3/16/2020 16:00:00,1275,1275,1190,1190,149600
3/17/2020 16:00:00,1175,1175,1110,1110,36500
3/18/2020 16:00:00,1100,1100,1035,1035,128300
3/19/2020 16:00:00,1000,1035,965,965,139000
3/20/2020 16:00:00,965,1100,955,1000,7800
3/23/2020 16:00:00,1000,1045,1000,1000,25600
3/24/2020 16:00:00,1000,1085,1000,1085,16400
3/26/2020 16:00:00,1100,1150,1100,1150,800
3/27/2020 16:00:00,1200,1250,1170,1225,55800
3/30/2020 16:00:00,1220,1220,1200,1200,47100
3/31/2020 16:00:00,1200,1200,1160,1200,2300
4/1/2020 16:00:00,1230,1235,1230,1230,1500
4/2/2020 16:00:00,1250,1250,1210,1210,6400
4/3/2020 16:00:00,1510,1510,1230,1300,92100
4/6/2020 16:00:00,1300,1450,1300,1350,9300
4/7/2020 16:00:00,1400,1400,1260,1260,132500
4/8/2020 16:00:00,1400,1400,1265,1275,8300
4/9/2020 16:00:00,1275,1275,1275,1275,19900
4/13/2020 16:00:00,1300,1400,1300,1315,140500
4/14/2020 16:00:00,1400,1500,1400,1500,406300
4/15/2020 16:00:00,1510,1550,1465,1485,72300
4/16/2020 16:00:00,1485,1525,1385,1390,101900
4/17/2020 16:00:00,1390,1525,1390,1485,17900
4/20/2020 16:00:00,1485,1530,1480,1525,87000
4/21/2020 16:00:00,1505,1530,1435,1450,227200
4/22/2020 16:00:00,1400,1495,1400,1460,16700
4/23/2020 16:00:00,1485,1490,1450,1490,11600
4/24/2020 16:00:00,1485,1520,1455,1520,29900
4/27/2020 16:00:00,1460,1515,1460,1470,7200
4/28/2020 16:00:00,1450,1500,1420,1485,3400
4/29/2020 16:00:00,1500,1510,1485,1510,211200
4/30/2020 16:00:00,1510,1550,1500,1510,19800
5/4/2020 16:00:00,1510,1510,1485,1510,34900
5/5/2020 16:00:00,1510,1530,1500,1505,23300
5/6/2020 16:00:00,1505,1600,1470,1520,170100
5/8/2020 16:00:00,1520,1520,1470,1475,278600
5/11/2020 16:00:00,1475,1500,1455,1475,67300
5/12/2020 16:00:00,1475,1510,1475,1480,9300
5/13/2020 16:00:00,1475,1745,1460,1695,310500
5/14/2020 16:00:00,1660,1710,1610,1690,890700
5/15/2020 16:00:00,1690,1700,1650,1655,91600
5/18/2020 16:00:00,1655,1705,1655,1690,395800
5/19/2020 16:00:00,1690,1700,1690,1700,16900
5/20/2020 16:00:00,1685,1690,1600,1690,72300
5/26/2020 16:00:00,1690,1705,1690,1705,162800
5/27/2020 16:00:00,1700,1700,1675,1695,49900
5/28/2020 16:00:00,1695,1705,1690,1695,477600
5/29/2020 16:00:00,1695,1705,1685,1705,164100
6/2/2020 16:00:00,1705,1705,1690,1690,233700
6/3/2020 16:00:00,1690,1705,1685,1705,327600
6/4/2020 16:00:00,1705,1705,1695,1700,435700
6/5/2020 16:00:00,1700,1700,1650,1700,117600
6/8/2020 16:00:00,1700,1705,1680,1700,438000
6/9/2020 16:00:00,1700,1750,1700,1725,1055900
6/10/2020 16:00:00,1730,1730,1715,1715,232300
6/11/2020 16:00:00,1750,1790,1725,1785,121500
6/12/2020 16:00:00,1755,1800,1700,1790,54800
6/15/2020 16:00:00,1790,1800,1780,1780,333000
6/16/2020 16:00:00,1790,1900,1790,1820,185100
6/17/2020 16:00:00,1820,1880,1800,1830,119300
6/18/2020 16:00:00,1830,1850,1795,1845,134500
6/19/2020 16:00:00,1830,2000,1825,1895,150300
6/22/2020 16:00:00,1900,1970,1895,1930,207400
6/23/2020 16:00:00,1930,1980,1930,1970,86000
6/24/2020 16:00:00,1975,2040,1950,1985,103900
6/25/2020 16:00:00,1985,2010,1970,1985,44300
6/26/2020 16:00:00,2000,2000,1870,1970,43100
6/29/2020 16:00:00,1970,1980,1940,1980,79700
6/30/2020 16:00:00,1980,2000,1970,1995,83100
7/1/2020 16:00:00,2000,2070,2000,2020,153200
7/2/2020 16:00:00,2050,2100,2000,2030,144200
7/3/2020 16:00:00,2050,2050,1990,1990,366200
7/6/2020 16:00:00,1990,2020,1990,2000,83900
7/7/2020 16:00:00,2000,2010,1980,1985,59500
7/8/2020 16:00:00,1990,2000,1980,1985,43100
7/9/2020 16:00:00,1995,2030,1945,1955,74900
7/10/2020 16:00:00,1965,1985,1960,1960,25700
7/13/2020 16:00:00,1960,1995,1960,1980,70000
7/14/2020 16:00:00,2000,2000,1970,1990,42600
7/15/2020 16:00:00,1990,1990,1970,1980,40300
7/16/2020 16:00:00,1990,1995,1990,1990,34800
7/17/2020 16:00:00,1985,2000,1980,1995,24100
7/20/2020 16:00:00,1995,2090,1995,2000,213500
7/21/2020 16:00:00,2060,2060,1995,2000,353800
7/22/2020 16:00:00,2020,2020,1990,2010,291600
7/23/2020 16:00:00,2010,2040,1995,1995,245000
7/24/2020 16:00:00,2010,2010,1995,2010,126200
7/27/2020 16:00:00,2010,2020,2000,2000,72400
7/28/2020 16:00:00,1995,1995,1870,1925,751100
7/29/2020 16:00:00,1925,1930,1800,1900,230800
7/30/2020 16:00:00,1880,1880,1775,1800,597800
8/3/2020 16:00:00,1800,1800,1675,1710,279800
8/4/2020 16:00:00,1710,1835,1700,1835,115600
8/5/2020 16:00:00,1845,1870,1810,1870,81000
8/6/2020 16:00:00,1870,1945,1870,1935,94600
8/7/2020 16:00:00,1950,1950,1910,1920,75600
8/10/2020 16:00:00,1910,1940,1910,1930,110000
8/11/2020 16:00:00,1935,1960,1930,1935,142100
8/12/2020 16:00:00,1925,1960,1925,1960,59900
8/13/2020 16:00:00,1960,1970,1950,1965,89100
8/14/2020 16:00:00,1965,2040,1935,1980,135900
8/18/2020 16:00:00,1980,2000,1955,1985,35200
8/19/2020 16:00:00,2000,2010,1990,2010,342100
8/24/2020 16:00:00,2020,2090,2020,2080,262300
8/25/2020 16:00:00,2080,2150,1940,2000,864900
8/26/2020 16:00:00,2000,2000,1900,1975,79100
8/27/2020 16:00:00,1975,1995,1955,1970,33600
8/28/2020 16:00:00,1995,2000,1985,1990,102100
8/31/2020 16:00:00,2020,2090,1990,2000,495500
9/1/2020 16:00:00,2000,2000,1995,2000,101700
9/2/2020 16:00:00,2000,2020,1995,2000,392700
9/3/2020 16:00:00,1950,1950,1860,1895,402900
9/4/2020 16:00:00,1895,1900,1870,1885,165200
9/7/2020 16:00:00,1895,1895,1840,1870,121900
9/8/2020 16:00:00,1895,1895,1880,1885,32500
9/9/2020 16:00:00,1885,1885,1850,1850,48000
9/10/2020 16:00:00,1845,1845,1725,1725,282200
9/11/2020 16:00:00,1705,1770,1605,1740,113000
9/14/2020 16:00:00,1745,1850,1740,1820,91700
9/15/2020 16:00:00,1820,1820,1760,1770,200200
9/16/2020 16:00:00,1770,1775,1755,1770,51100
9/17/2020 16:00:00,1770,1770,1730,1745,130000
9/18/2020 16:00:00,1745,1800,1735,1790,84600
9/21/2020 16:00:00,1790,1790,1760,1760,34200
9/22/2020 16:00:00,1760,1760,1720,1730,41900
9/23/2020 16:00:00,1775,1775,1725,1730,8600
9/24/2020 16:00:00,1730,1730,1680,1715,42900
9/25/2020 16:00:00,1740,1740,1700,1715,42200
9/28/2020 16:00:00,1715,1715,1620,1620,108400
9/29/2020 16:00:00,1650,1810,1650,1680,28500
9/30/2020 16:00:00,1680,1690,1640,1675,41400
