Date,Price,Open,High,Low,Vol.,Change %
1/2/2020,"1,715","1,675","1,980","1,675",152.60K,2.69%
1/3/2020,"1,700","1,715","1,765","1,700",105.40K,-0.87%
1/6/2020,"1,660","1,700","1,700","1,605",95.80K,-2.35%
1/7/2020,"1,645","1,660","1,665","1,610",179.60K,-0.90%
1/8/2020,"1,610","1,645","1,645","1,605",32.60K,-2.13%
1/9/2020,"1,640","1,610","1,640","1,610",4.20K,1.86%
1/10/2020,"1,640","1,650","1,650","1,635",50.60K,0.00%
1/13/2020,"1,610","1,650","1,650","1,605",119.50K,-1.83%
1/14/2020,"1,595","1,645","1,645","1,585",167.90K,-0.93%
1/15/2020,"1,590","1,595","1,600","1,590",32.40K,-0.31%
1/16/2020,"1,615","1,590","1,615","1,575",117.80K,1.57%
1/17/2020,"1,610","1,615","1,615","1,600",95.10K,-0.31%
1/20/2020,"1,620","1,600","1,625","1,600",16.40K,0.62%
1/21/2020,"1,625","1,610","1,630","1,605",178.80K,0.31%
1/22/2020,"1,570","1,625","1,625","1,570",94.60K,-3.38%
1/23/2020,"1,560","1,570","1,585","1,550",52.30K,-0.64%
1/24/2020,"1,570","1,555","1,570","1,550",24.30K,0.64%
1/27/2020,"1,545","1,565","1,570","1,475",126.40K,-1.59%
1/28/2020,"1,545","1,500","1,545","1,470",33.70K,0.00%
1/29/2020,"1,595","1,545","1,640","1,545",20.20K,3.24%
1/30/2020,"1,575","1,595","1,595","1,565",47.70K,-1.25%
1/31/2020,"1,550","1,575","1,575","1,525",70.20K,-1.59%
2/3/2020,"1,580","1,550","1,600","1,530",42.10K,1.94%
2/4/2020,"1,595","1,600","1,600","1,565",9.80K,0.95%
2/5/2020,"1,560","1,605","1,610","1,555",17.30K,-2.19%
2/6/2020,"1,555","1,545","1,560","1,545",39.90K,-0.32%
2/7/2020,"1,545","1,560","1,560","1,545",16.50K,-0.64%
2/10/2020,"1,540","1,545","1,545","1,540",8.70K,-0.32%
2/11/2020,"1,540","1,540","1,540","1,510",16.40K,0.00%
2/12/2020,"1,530","1,560","1,560","1,530",3.90K,-0.65%
2/13/2020,"1,550","1,530","1,550","1,500",28.10K,1.31%
2/14/2020,"1,530","1,525","1,545","1,525",1.40K,-1.29%
2/17/2020,"1,530","1,530","1,560","1,530",15.10K,0.00%
2/18/2020,"1,580","1,505","1,600","1,505",45.00K,3.27%
2/19/2020,"1,570","1,575","1,580","1,530",12.10K,-0.63%
